"BadRatingReason","BadRatingReasonComment","CheckUserId","Quality","Team","annotation_id","annotator","created_at","id","img","label","lead_time","updated_at"
"","","","Good","",15,"6","2024-03-15T10:35:18.822322Z",1,"gs://frdc-ds/DEBUG/0/result.jpg","[{""closed"":true,""points"":[[29.878869448183043,70.2557200538358],[43.405114401076716,74.6971736204576],[46.837146702557206,81.0228802153432],[47.442799461642,87.61776581426649],[42.597577388963664,93.53970390309556],[31.292059219380892,99.0578734858681],[18.9771197846568,98.38492597577388],[11.507402422611037,93.0013458950202],[17.362045760430686,81.83041722745625],[19.986541049798117,78.73485868102289]],""polygonlabels"":[""_Unknown""],""original_width"":100,""original_height"":150}]",35.082,"2024-06-07T11:33:06.615770Z"
"","","","","",7,"1","2024-02-15T04:01:17.334965Z",1,"gs://frdc-ds/DEBUG/0/result.jpg","[{""closed"":true,""points"":[[61.438679245283026,41.27358490566038],[33.84433962264151,32.075471698113205],[30.660377358490564,11.79245283018868],[58.01886792452831,5.738993710691824],[88.56132075471697,11.713836477987421],[88.44339622641509,27.358490566037734],[62.5,41.588050314465406]],""polygonlabels"":[""Bridelia Sp.""],""original_width"":100,""original_height"":150},{""closed"":true,""points"":[[24.056603773584907,82.0754716981132],[6.014150943396227,73.89937106918238],[32.90094339622642,61.32075471698113],[80.07075471698113,71.38364779874213],[64.62264150943396,83.4119496855346]],""polygonlabels"":[""Pennisetum Purpureum""],""original_width"":100,""original_height"":150},{""closed"":true,""points"":[[50.47169811320755,59.74842767295597],[13.325471698113208,46.855345911949684],[27.240566037735846,43.23899371069182],[67.21698113207547,53.77358490566038]],""polygonlabels"":[""Clausena Excavata""],""original_width"":100,""original_height"":150}]",25.23,"2024-06-07T11:33:09.949685Z"
"","","","","",1,"1","2023-12-18T08:24:56.717485Z",4,"gs://frdc-ds/chestnut_nature_park/20201218/result.jpg","[{""closed"":true,""points"":[[35.97162750090888,34.1533248578233],[36.04575547869667,36.68314476818739],[34.81028918223349,38.50145282876157],[36.07046480462594,39.43432392070832],[39.94982897552033,39.95609927722092],[43.40913460561724,41.63210496783712],[45.21291539845349,42.01157795439174],[49.462919458286834,41.80603008667465],[50.228908562094,41.015461364685876],[52.27978261422289,40.19326989381755],[53.960016777412825,38.0271115955683],[54.67658722936146,33.94777699010622],[54.9236804886541,32.761923907123055],[56.949845214853724,30.421840490036274],[56.87571723706593,29.330855653691764],[52.62571317723258,27.93945470299152],[50.50071114731591,28.224059442907475],[48.69693035447966,27.449302095358476],[47.18966147279458,27.639038588635785],[45.361171354029075,26.706167496689027],[43.755065168626935,26.532242377851496],[40.14750358295444,26.690356122249252],[38.46726941976451,27.63903858863579],[37.800117619674396,26.18439214017644],[36.53994199728195,25.42544616706721],[34.26668401178969,25.378012043747884],[34.26668401178969,24.460952326240903],[31.94400737443891,23.069551375540655],[28.90476028513948,24.47676370068068],[25.54429195875963,26.563865126731052],[25.91493184769858,28.22405944290748],[29.794296018592973,31.133352339826175],[32.191100633731544,31.275654709784163],[35.74924356754551,31.8290528151763],[37.627152338169545,32.682867034924186]],""polygonlabels"":[""Falcataria Moluccana""],""original_width"":4876,""original_height"":7620},{""closed"":true,""points"":[[56.0108908295417,31.92392106181495],[57.74054364459016,32.14528030397181],[59.223103200345975,32.39826229500822],[60.557406800526216,31.180786463145505],[60.50798814866769,30.83293622547044],[61.026883993182224,30.62738835775336],[61.64461714141382,29.631271768047498],[61.5210705117675,29.23598740705311],[61.026883993182224,28.856514420498495],[59.29723117813376,28.824891671618946],[57.69112499273164,28.413795936184787],[57.04868251857078,28.872325794938273],[57.246357126004874,29.868442384644133]],""polygonlabels"":[""Claoxylon Indicum""],""original_width"":4876,""original_height"":7620},{""closed"":true,""points"":[[56.80158925927814,32.52475329052642],[56.752170607419615,34.32724997666084],[59.865545674506826,34.97551632869163],[61.81758242291866,34.32724997666084],[63.20130467495741,34.48536372105859],[65.37572535673263,35.27593244304737],[66.28997041611538,35.370800689686014],[66.90770356434697,36.224614909433896],[67.59956469036635,36.11393528835547],[68.11846053488088,35.655405429601984],[69.55160143877818,35.75027367624063],[70.26817189072683,34.84902533317342],[70.24346256479757,33.74222912238914],[70.73764908338283,33.58411537799138],[70.78706773524137,32.730301158243506],[70.16933458700977,32.382450920568445],[68.6620657053247,31.46539120306146],[68.76090300904174,30.611576983313586],[69.1315428979807,29.915876507963464],[69.9469506536464,30.073990252361217],[69.9469506536464,29.504780772529298],[69.27979885355629,29.014628164896255],[67.87136727558824,28.002700200750617],[65.99345850496421,28.27149356622681],[63.25072332681595,29.28342153037244],[61.89171040070646,29.599649019167952],[59.79141769671904,32.44569641832754]],""polygonlabels"":[""Pennisetum Purpureum""],""original_width"":4876,""original_height"":7620},{""closed"":true,""points"":[[61.69403579327234,29.014628164896255],[62.65769950451362,28.998816790456477],[65.4004346826619,27.844586456352864],[66.26526109018612,26.579676501170823],[63.76961917133048,25.583559911464963],[62.03996635628203,25.963032898019577],[60.75508140796032,25.615182660344516],[58.580660726185116,26.45318550565262],[56.99926386671225,27.639038588635785],[57.612795978153756,28.26754395402069],[60.4421708732651,28.63330211273547]],""polygonlabels"":[""Bridelia Sp.""],""original_width"":4876,""original_height"":7620},{""closed"":true,""points"":[[51.63569731442863,20.938946721697196],[51.5614393852648,22.875275822886838],[53.325065202905705,23.51675908340365],[53.77061277788867,24.91851880082928],[56.05404409967637,25.51248478278929],[60.37956847346933,25.203622472170085],[61.2520991411443,24.05132846716766],[60.39813295576029,22.22191324273082],[61.04788983594377,21.022101959171597],[60.323875026596454,20.535049853964388],[59.785505040158704,20.451894616489987],[59.8783274516135,18.574962113496348],[58.875845407901814,18.182944565402735],[59.33995746517574,17.529581985246725],[57.70628302357152,16.947495322925914],[55.97978617051253,17.36327151029792],[54.71740137472747,17.10192647823552],[53.492145543524316,17.600857903081927],[53.86343518934345,18.80066918664115]],""polygonlabels"":[""Spathodea Campanulatum""],""original_width"":4876,""original_height"":7620},{""closed"":true,""points"":[[69.90314788873022,30.097902163520583],[69.71750306582065,30.50179903125339],[69.3090844554196,30.834419981151],[69.62468065436586,31.642213716616617],[70.8128075209871,32.426248812803834],[71.51825784804346,32.521283369917434],[72.37222403342749,32.03423126471022],[72.52073989175514,31.547179159503013],[71.68533818866207,31.380868684554216],[72.149450245936,30.715626784759],[71.40687095429772,30.145419442077387]],""polygonlabels"":[""Pometia Pinnata""],""original_width"":4876,""original_height"":7620},{""closed"":true,""points"":[[73.44896400630299,30.418643793778994],[72.83633609070141,31.095765013213406],[72.91059401986524,32.675714525227036],[71.94524094073547,33.29343914646545],[72.74351367924663,33.73297397311586],[74.02446295732265,33.41223234285745],[75.47249257601727,32.72323180378384],[76.69774840722044,32.33121425569023],[77.06903805303958,31.808524191565418],[76.47497461972897,31.167040931048607],[75.13833189478005,30.56119562944939]],""polygonlabels"":[""Sterculia Parviflora""],""original_width"":4876,""original_height"":7620},{""closed"":true,""points"":[[72.11232128135408,33.80424989095106],[70.60859821578657,33.80424989095106],[70.66429166265945,34.65956090497348],[71.66677370637112,34.80211274064388],[72.22370817509983,34.493250430024666]],""polygonlabels"":[""Calophyllum""],""original_width"":4876,""original_height"":7620},{""closed"":true,""points"":[[74.15441433335936,34.94466457631428],[73.69030227608543,35.5505098779135],[73.83881813441309,36.16823449915191],[74.24723674481413,36.40582089193592],[76.47497461972897,35.62178579574869],[76.27076531452843,35.20600960837669]],""polygonlabels"":[""Sterculia Parviflora""],""original_width"":4876,""original_height"":7620},{""closed"":true,""points"":[[79.93179464347556,7.384643013369713],[76.99860644150438,8.798282050434542],[75.75478612801027,9.58231714662176],[74.17680513327892,11.637439444203402],[75.25354510615443,12.742216170649023],[77.10999333525011,13.526251266836242],[78.22386227270754,13.526251266836242],[78.6694098476905,14.595390034364264],[79.93179464347556,14.452838198693863],[79.78327878514791,13.288664874052236],[81.6397270142436,12.112612229771411],[83.32909490272068,11.471128969254599],[82.326612859009,8.346867904144933]],""polygonlabels"":[""Campnosperma Auriculatum""],""original_width"":4876,""original_height"":7620},{""closed"":true,""points"":[[90.56924299619388,36.619648645441515],[89.32542268269975,36.48897612941032],[88.11873133378757,36.940390275699926],[85.66821967138125,38.152080878898346],[86.18802517552805,39.244978285704775],[86.05807379949135,40.029013381891986],[87.33902307756736,40.08840998008799],[90.27221127953857,38.46094318951756],[91.12617746492258,37.67690809333035]],""polygonlabels"":[""Leea Indica""],""original_width"":4876,""original_height"":7620},{""closed"":true,""points"":[[85.53826829534455,38.17583951817675],[86.11376724636422,39.18558168750877],[86.00238035261847,39.850823587303985],[83.25483697355686,39.54196127668478],[83.08775663293824,38.84108141797197],[83.73751351312173,38.08080496106315]],""polygonlabels"":[""Dillenia Suffruticosa""],""original_width"":4876,""original_height"":7620},{""closed"":true,""points"":[[74.06541823953319,42.68998098107284],[74.43670788535232,43.55717131473446],[76.47880093735758,43.46213675762087],[76.92434851234054,42.28608411334004],[76.46023645506662,41.442652418956825],[74.25106306244275,41.63272153318403]],""polygonlabels"":[""Sterculia Parviflora""],""original_width"":4876,""original_height"":7620},{""closed"":true,""points"":[[63.37227643994201,40.57546208529521],[62.38835887852129,42.32172207225764],[63.94777539096167,42.998843291692054],[65.69283672631163,43.03448125060966],[66.95522152209669,41.41889377967842],[66.62106084085946,40.97935895302801],[65.21016018674673,40.421030929985605]],""polygonlabels"":[""Sterculia Parviflora""],""original_width"":4876,""original_height"":7620},{""closed"":true,""points"":[[61.9985047504112,43.10575716844486],[60.17918548589741,44.03234410030248],[60.04923410986072,45.75484544798651],[61.53439269313728,48.285140531136165],[63.056680240995746,48.285140531136165],[64.1519846961622,47.07344992793774],[63.39084092223296,46.18250095499772],[63.74356608576114,44.8876551143249],[64.46758089510847,44.67382736081929],[64.89456398780047,43.842274986075275],[64.18911366074411,43.14139512736246]],""polygonlabels"":[""Sandoricum Koetjape""],""original_width"":4876,""original_height"":7620},{""closed"":true,""points"":[[67.19655979187914,50.43529738583141],[67.53072047311636,50.91047017139941],[66.88096359293286,52.181557372793854],[65.30298259820154,53.17942022248667],[64.4118874482356,52.45478172449545],[64.63466123572708,51.06490132670902]],""polygonlabels"":[""Syzygium Polyanthum""],""original_width"":4876,""original_height"":7620},{""closed"":true,""points"":[[62.68539059517659,51.694505267586635],[59.75220239320541,51.90833302109223],[58.56407552658417,52.69236811727945],[59.64081549945968,54.21292103109708],[62.128456126447894,55.11574932367631],[63.11237368786862,55.98293965733793],[64.04059780241646,56.43435380362754],[65.95273947838503,55.88790510022432],[66.52823842940468,54.6405765381083],[65.74853017318449,53.476403213466675],[63.39084092223296,51.70638458722583]],""polygonlabels"":[""Clausena Excavata""],""original_width"":4876,""original_height"":7620},{""closed"":true,""points"":[[45.29047068854998,55.59092210924431],[44.807794148985096,58.25188970842517],[46.23725928538878,60.057546293583606],[47.239741329100454,59.77244262224281],[48.724899912377,60.06942561322282],[52.04794224245829,59.01216616533399],[53.10611773304284,59.07156276353],[54.34993804653695,59.606132147294],[57.171739354762394,59.724925343685996],[59.08388103073096,58.69142453507558],[61.385876834809615,56.80261271244274],[60.51334616713464,54.98507680764511],[57.35738417767197,53.19129954212586],[53.64448771948058,51.62322934975143],[51.93655534871255,51.67074662830823],[48.594948536340304,53.12002362429066]],""polygonlabels"":[""Spathodea Campanulatum""],""original_width"":4876,""original_height"":7620},{""closed"":true,""points"":[[19.025114408415824,61.419916562949574],[20.819011470880366,60.82857115890196],[21.525698192457305,58.254479400106504],[24.2709043031985,57.50660138910513],[24.651427922509157,56.06302290275361],[26.85302886280655,55.471677498706015],[28.864367993448614,56.08041541463737],[31.609574104189804,54.02809901235452],[35.17018797059669,54.288986690610805],[37.18152710123876,53.87156640540073],[38.78516235404796,57.12396612766256],[41.3944671721782,58.56754461401407],[37.91539408133788,62.7417474661148],[35.22454848764107,65.87239960519035],[29.407973163892414,70.11617250482611]],""polygonlabels"":[""Falcataria Moluccana""],""original_width"":4876,""original_height"":7620},{""closed"":true,""points"":[[29.679775749114313,70.22052757612865],[36.44766012113963,66.3072124022842],[41.747810532966675,64.28968102376882],[44.79199948745196,66.23764235474918],[46.857699135138404,67.69861335298444],[43.07964320055399,71.36843336045634],[44.08531276587502,73.00332947752914],[46.640257066960885,73.19464710825042],[47.23822275444906,76.32529924732597],[47.83618844193724,79.75162408842533],[43.895050956219684,81.42130522926563]],""polygonlabels"":[""Falcataria Moluccana""],""original_width"":4876,""original_height"":7620},{""closed"":true,""points"":[[68.27574285062413,85.3902900176474],[67.18853250973652,86.34687817125382],[66.99827070008119,87.68610158630281],[68.57472569436821,90.60804358277333],[71.70045542442007,91.40809912942596],[73.33127093575148,89.66884794105066],[74.36412075959468,89.52970784598064],[75.20670877378258,88.15569940716415],[75.07080748117163,87.63392405065154],[73.22254990166272,87.04257864660396],[71.97225800964196,85.32071997011239],[69.9609188789999,84.8337296373673]],""polygonlabels"":[""Ficus Variegata""],""original_width"":4876,""original_height"":7620},{""closed"":true,""points"":[[73.31184957219115,82.29885238646897],[75.82802733724647,83.61441340436387],[73.41924740362644,83.36897291595064],[72.34526908927357,83.62423102390039],[71.90033521618452,84.41945820635925],[73.8948663714113,85.58775493120623],[75.38309346415741,86.26517067922674],[76.21159102094393,85.54848445306011],[78.68174114395555,84.38018772821316],[78.2521498182144,82.60319859210136],[75.73597205315909,81.58216616030234],[74.26308750776084,81.5036252040101]],""polygonlabels"":[""Cinnamomum Iners""],""original_width"":4876,""original_height"":7620},{""closed"":true,""points"":[[78.69708369130345,82.18104095203061],[78.34420510230177,82.41666382090732],[78.57434331252027,83.83040103416751],[80.47681918365964,84.95942728086835],[81.13654871961927,84.50781678218803],[80.76832758326971,84.06602390304421],[81.24394655105456,83.80094817555792],[81.33600183514194,83.00572099309906],[80.75298503592181,82.36757572322468],[80.0625704052664,81.68034235566762]],""polygonlabels"":[""Clausena Excavata""],""original_width"":4876,""original_height"":7620},{""closed"":true,""points"":[[75.39843601150531,78.89213840729337],[74.53925336002301,79.25539033014493],[74.90747449637257,80.2862403814805],[76.57981215729347,80.51204563082067],[77.63844792429848,79.77572416558098],[77.43899480877579,79.25539033014493],[76.68720998872878,78.97067936358559]],""polygonlabels"":[""Shorea Leprosula""],""original_width"":4876,""original_height"":7620},{""closed"":true,""points"":[[73.9102089187592,76.00575826355382],[72.29924144722986,77.36058975959482],[73.02034117258108,79.09830841756047],[74.32445769715244,78.92159126590296],[76.61049725198929,77.51767167217929],[77.19351405120942,76.9482497390606],[77.91461377656064,75.69159443838488],[76.18090592624813,75.08290202712007]],""polygonlabels"":[""Syzygium Polyanthum""],""original_width"":4876,""original_height"":7620},{""closed"":true,""points"":[[80.24668097344117,77.29186642283912],[79.63297907952524,79.13757889570661],[80.0318853105706,80.70839802155125],[81.6888804241436,82.07304713712881],[85.11026848272492,82.52465763580915],[86.61383812281895,76.9482497390606],[85.53985980846606,77.03660831488936],[84.71136225167956,77.54712453078888],[82.42532269684273,76.89916164137796]],""polygonlabels"":[""Cinnamomum Iners""],""original_width"":4876,""original_height"":7620},{""closed"":true,""points"":[[80.73764248857391,70.28208607375733],[79.9858576685269,70.2428155956112],[77.00940348303463,71.28348326648329],[76.18090592624813,72.13761616616132],[76.349673947075,73.5120829012754],[78.72776878599925,74.80800868009725],[82.04175901314528,74.68037962612237],[83.79080941080568,73.35500098869095],[83.77546686345778,72.32415093735538],[84.14368799980733,71.81363472145588],[83.5299861058914,71.30311850555636],[82.7014885491049,70.84169038733948],[81.19791890901085,70.60606751846278]],""polygonlabels"":[""Alstonia Angulstiloba""],""original_width"":4876,""original_height"":7620},{""closed"":true,""points"":[[73.28116447749535,63.00722999718923],[73.14308155136426,63.655192886600155],[73.20445174075586,64.34242625415719],[74.78473411758938,65.09838295846994],[76.24227611563971,65.57944631575985],[78.11406689208331,65.64816965251558],[79.24941539582777,65.0591124803238],[79.67900672156894,64.09698576574397],[79.06530482765301,62.00583280446325],[77.3315969773405,61.3775051541254],[75.75131460050699,61.485498969027205],[74.14034712897765,62.70288379155683]],""polygonlabels"":[""Spathodea Campanulatum""],""original_width"":4876,""original_height"":7620},{""closed"":true,""points"":[[19.999712228146542,40.86503001389629],[18.445001440677277,42.376439296594434],[19.640932815653635,46.37497777866926],[23.64730292182444,47.38896122149207],[26.27835194677244,46.681085987823316],[30.045535777947975,47.54201532606909],[29.567163227957433,45.39925786199072],[30.82289117168261,44.27048384073514],[33.36424534350738,42.8929968995419],[36.055090937204184,42.012935798223985],[33.36424534350738,39.56407012499156],[30.16512891544561,40.02323243872263],[28.371231852981072,38.74140431289003],[24.78343772805199,40.09975949101115]],""polygonlabels"":[""Bridelia Sp.""],""original_width"":4876,""original_height"":7620},{""closed"":true,""points"":[[15.754155846980463,33.00187539125152],[15.126291875117873,36.78996447953294],[16.71090094696155,39.83191480800136],[19.31205168753514,40.271945358660304],[24.12567547181499,39.927573623361994],[28.04235072486257,38.55008668216875],[27.95265587173934,37.42131266091317],[29.806349502952706,36.751700953388685],[30.43421347481529,35.4124775383397],[31.600246565417244,35.37421401219544],[31.719839702914875,34.092385886362834],[30.195027199820018,33.25058831118918],[27.803164449867303,32.77229423438598],[22.840049243715402,29.73034390591756],[21.165745318748495,30.82085440102888],[18.325408303179643,31.394807293192734]],""polygonlabels"":[""Ficus Variegata""],""original_width"":4876,""original_height"":7620},{""closed"":true,""points"":[[55.19400167668004,70.58582624045596],[54.18091931358022,71.48707458352315],[52.25359189109767,73.36862814185645],[54.205628639509484,74.68097222035782],[55.81173482491163,77.35309450067987],[58.505051351201374,77.82743573387314],[59.96290158102793,77.16335800740258],[62.606799455459125,77.36890587511967],[67.40040868573628,76.13561866881717],[71.67512207149889,73.74810112841107],[72.9600070198206,71.37639496244473],[74.29431062000084,70.12729638170248],[72.29285521973048,68.08762907897142],[70.41494644910645,66.30094376727679],[68.93238689335062,64.95697693989587],[64.65767350758802,64.84629731881743],[61.14894922563258,65.88984803184262],[57.146038425091874,67.72396746685659]],""polygonlabels"":[""Terminalia Catappa""],""original_width"":4876,""original_height"":7620},{""closed"":true,""points"":[[69.41982932063645,37.25727247914639],[67.39815719915124,38.44639237503033],[66.94889672771008,38.86454442633018],[68.39878279463383,40.78543041198886],[70.01203630571797,40.91610292802006],[72.31960145448392,41.556398256572955],[74.28001078440896,40.850766670004454],[75.91368522601317,39.36109998724876],[75.36232010197176,37.96290406571488],[73.48359449412692,36.98286019548087],[71.72739446940238,36.56470814418101]],""polygonlabels"":[""Alstonia Angulstiloba""],""original_width"":4876,""original_height"":7620}]",10.744,"2024-06-07T11:46:29.078762Z"
